NOME_PRODUTO,DESCRIÇÃO
 (VITAMINAS A )  +  ASSSOCIACÕES,VITAMINAS E SUPLEMENTOS MINERAIS
 AC SALICILICO + AC BENZOICO + IODO,ANTIMICOTICOS PARA USO TOPICO
 ALENDRONATO SODICO,SUPRESSORES DA REABSORCAO OSSEA
 ARNICA MONTANA,FITOTERAPICO SIMPLES
 ARNICA MONTANA L.,FITOTERAPICO SIMPLES
 BUPIVACAINA + EPINEFRINA,ANESTESICOS
 CETOCONAZOL,ANTIMICOTICO
 CLORETO DE CETILPIRIDINIO + BENZOCAINA,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
 CLORETO DE SODIO,REIDRATANTES PARENTERAIS
 CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE),DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
 DIPIRONA,ANALGESICOS
 EUCALYPTUS GLOBULUS  LABILL.,FITOTERAPICO SIMPLES
 GINKGO BILOBA,FITOTERAPICO SIMPLES
 HEPARINA + HIALURONIDASE + LIDOCAINA,ANTIVARICOSOS TOPICOS
 HYPERICUM PERFORATUM,FITOTERAPICO SIMPLES
 HYPERICUM PERFORATUM L,FITOTERAPICO SIMPLES
 IMUNOCIANINA,IMUNOMODULADOR
 IODETO DE POTASSIO,EXPECTORANTES
 KAVA KAVA,FITOTERAPICO SIMPLES
 METILDOPA,ANTI-HIPERTENSIVOS
 NISTATINA,ANTIMICOTICO
 RABEPRAZOL SODICO,ANTIULCEROSOS
 SULFATO DE AMICACINA,ANTIBIOTICOS SISTEMICOS SIMPLES
 TAMOXIFENO,ANTINEOPLASICO
 TENOXICAM,ANTINFLAMATORIOS ANTIREUMATICOS
 TERBINAFINA,ANTIMICOTICO
" VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA",VACINAS
 VITAMINA C + ASSOCIAÇÕES,POLIVITAMINICOS COM MINERAIS
1/6 Molar Halex Istar,ELETROLITOS SIMPLES
17-VALERATO DE BETAMETASONA + ACIDO SALICILICO,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
17-VALERATO DE BETAMETASONA+ASSOCIASSOES,GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
"21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12",ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
50 + multivitamínico,POLIVITAMINICOS COM MINERAIS
6 - COPENA,ANTIEMETICOS E ANTINAUSEANTES
A CURITYBINA,CERATOLITICOS E CERATOPLASTICOS
A SAUDE DA MULHER,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
A SAÚDE DA MULHER,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
A.F.B.M,POLIVITAMINICOS SEM MINERAIS
AAS,ANALGESICOS NAO NARCOTICOS
AAS PROTECT,ANTIAGREGANTE PLAQUETARIO
ABACICLOVIR,ANTIVIROTICOS
ABBA,AGENTES ANTINEOPLÁSICOS
ABBOT EFEDRINA,HIPERTENSOR
ABBOTTRACURIUM,ANESTESICOS GERAIS INJETAVEIS
ABC,ANTIMICOTICOS PARA USO TOPICO
ABC PLUS,VITAMINAS E SUPLEMENTOS MINERAIS
ABCALCIUM B12,VITAMINAS E SUPLEMENTOS MINERAIS
ABCIXIMAB,ANTICOAGULANTES
